country,N,female,age_mean,age_sd,age_med
Afghanist,1993,0.5052684395383843,27.989463120923233,15.100213746285306,22
Albania,1686,0.5711743772241993,28.839857651245552,12.771694443996957,25
Australia,33058,0.62617218222518,26.506140722366748,10.42134871225723,23
Canada,58672,0.6152508862830651,25.18352877011181,10.198588678226665,22
China,3505,0.6082738944365192,24.26761768901569,6.5722402625290925,22
Denmark,1540,0.4116883116883117,28.741558441558443,9.94805025482259,26
Finland,3940,0.5126903553299492,25.266243654822336,7.476114294669661,24
France,2118,0.44192634560906513,28.285174693106704,9.413900276473186,26
Germany,3294,0.4854280510018215,26.927140255009107,8.693843067159952,25
Greece,1604,0.564214463840399,26.452618453865338,7.880398821828457,24
Hong Kong,2614,0.5363427697016068,23.409334353481256,7.380065729059676,21
India,8172,0.35744003915810085,26.526309348996573,7.331723705860575,25
Ireland,5721,0.5532249606712113,25.91679776262891,9.5529660364482325,23
Malaysia,2846,0.623330990864371,23.365425158116654,6.609785519747829,22
Mexico,2171,0.47535697835099033,25.485490557346846,8.883845768941477,24
Netherlan,6316,0.5417986067131095,25.797340088663713,9.035468031686099,22
New Zeala,5965,0.5797150041911149,26.75406538139145,10.689086729138046,23
Norway,2248,0.4288256227758007,25.98309608540925,8.272004616169875,24
Philippin,6931,0.6570480450151494,21.49819650844034,6.6610877896964125,19
Romania,1958,0.5531154239019408,26.806945863125637,7.599822011210221,25
Singapore,8414,0.5841454718326599,21.481934870454005,5.7902514845972295,21
South Afr,2791,0.5646721605159442,27.963453959154425,9.5282314399963,26
South Kor,2262,0.5278514588859416,23.03625110521662,6.127245272946037,21
Sweden,3559,0.4610845743186288,27.67912334925541,9.26041881466819,25
Thailand,2629,0.6158235070368961,21,4.57226767141386,20
UK,47725,0.557192247249869,25.80188580408591,10.532739518166991,22
USA,660125,0.6141730732815754,25.004234046582088,10.274480088088346,21
