"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Afghanist",0.94,0.932,0.976,0.984,0.915,0.909,0.942,0.919,0.937,0.893,0.924,0.95,0.954,0.918,0.92,0.951,0.954,0.935,0.949,0.926,0.955,0.939,0.911,0.941,0.839,0.98,0.946
"Albania",0.93,0.942,0.975,0.983,0.913,0.909,0.941,0.919,0.936,0.893,0.922,0.948,0.951,0.913,0.914,0.949,0.953,0.932,0.945,0.922,0.953,0.936,0.91,0.939,0.83,0.978,0.943
"Australia",0.942,0.943,0.989,0.992,0.937,0.93,0.957,0.938,0.952,0.913,0.939,0.963,0.967,0.938,0.931,0.965,0.968,0.95,0.959,0.935,0.966,0.95,0.922,0.957,0.843,0.99,0.956
"Canada",0.941,0.942,0.986,0.993,0.93,0.926,0.956,0.935,0.95,0.91,0.937,0.961,0.965,0.93,0.93,0.963,0.966,0.947,0.957,0.935,0.965,0.948,0.921,0.954,0.843,0.988,0.956
"China",0.885,0.886,0.96,0.971,0.942,0.869,0.915,0.891,0.91,0.86,0.919,0.939,0.926,0.911,0.896,0.93,0.925,0.896,0.935,0.903,0.942,0.902,0.896,0.913,0.844,0.964,0.898
"Denmark",0.919,0.92,0.968,0.977,0.918,0.931,0.943,0.924,0.938,0.899,0.918,0.943,0.946,0.916,0.912,0.951,0.948,0.935,0.938,0.921,0.945,0.928,0.904,0.942,0.828,0.973,0.931
"Finland",0.928,0.93,0.976,0.985,0.929,0.922,0.966,0.934,0.949,0.909,0.931,0.955,0.957,0.924,0.929,0.961,0.957,0.945,0.948,0.929,0.958,0.941,0.918,0.952,0.846,0.98,0.942
"France",0.916,0.92,0.972,0.979,0.925,0.913,0.945,0.942,0.941,0.9,0.925,0.95,0.949,0.921,0.921,0.952,0.95,0.931,0.944,0.924,0.953,0.932,0.91,0.942,0.832,0.976,0.932
"Germany",0.926,0.926,0.978,0.985,0.929,0.919,0.951,0.932,0.96,0.904,0.927,0.954,0.955,0.924,0.924,0.959,0.955,0.94,0.947,0.927,0.956,0.936,0.916,0.95,0.844,0.981,0.939
"Greece",0.911,0.91,0.966,0.973,0.916,0.9,0.934,0.914,0.928,0.913,0.915,0.944,0.942,0.91,0.912,0.941,0.941,0.92,0.937,0.915,0.944,0.925,0.901,0.931,0.841,0.97,0.924
"Hong Kong",0.904,0.905,0.966,0.976,0.93,0.889,0.929,0.908,0.922,0.882,0.941,0.949,0.939,0.922,0.909,0.938,0.938,0.911,0.945,0.913,0.954,0.918,0.904,0.927,0.856,0.97,0.918
"India",0.917,0.917,0.974,0.982,0.93,0.901,0.936,0.914,0.931,0.893,0.929,0.969,0.949,0.93,0.918,0.946,0.948,0.922,0.952,0.926,0.959,0.931,0.911,0.934,0.853,0.978,0.929
"Ireland",0.94,0.942,0.984,0.989,0.933,0.928,0.955,0.936,0.951,0.912,0.937,0.96,0.971,0.934,0.93,0.962,0.966,0.948,0.958,0.934,0.965,0.951,0.92,0.954,0.841,0.987,0.954
"Malaysia",0.904,0.906,0.964,0.975,0.922,0.886,0.926,0.903,0.919,0.877,0.923,0.95,0.938,0.938,0.906,0.937,0.938,0.912,0.947,0.916,0.952,0.919,0.901,0.921,0.855,0.969,0.919
"Mexico",0.91,0.911,0.965,0.975,0.915,0.895,0.933,0.912,0.928,0.89,0.92,0.946,0.94,0.911,0.933,0.94,0.942,0.918,0.94,0.921,0.946,0.922,0.904,0.927,0.836,0.97,0.927
"Netherlan",0.931,0.933,0.98,0.987,0.932,0.926,0.956,0.935,0.95,0.909,0.931,0.957,0.959,0.93,0.929,0.972,0.96,0.946,0.951,0.932,0.959,0.943,0.921,0.954,0.847,0.983,0.944
"New Zeala",0.937,0.94,0.984,0.989,0.928,0.925,0.954,0.932,0.948,0.908,0.934,0.958,0.963,0.928,0.924,0.961,0.969,0.945,0.954,0.928,0.963,0.947,0.916,0.951,0.834,0.987,0.952
"Norway",0.929,0.931,0.977,0.984,0.924,0.927,0.954,0.932,0.947,0.907,0.929,0.951,0.957,0.922,0.923,0.96,0.957,0.955,0.947,0.929,0.956,0.941,0.916,0.953,0.842,0.98,0.942
"Philippin",0.915,0.914,0.972,0.979,0.921,0.894,0.932,0.908,0.923,0.883,0.922,0.954,0.944,0.927,0.912,0.942,0.943,0.919,0.962,0.918,0.955,0.924,0.904,0.928,0.848,0.975,0.928
"Romania",0.906,0.909,0.96,0.971,0.917,0.901,0.928,0.911,0.922,0.888,0.918,0.942,0.935,0.916,0.911,0.934,0.937,0.917,0.938,0.944,0.942,0.92,0.899,0.927,0.837,0.964,0.92
"Singapore",0.924,0.925,0.978,0.985,0.93,0.91,0.945,0.923,0.938,0.901,0.936,0.96,0.953,0.933,0.923,0.953,0.954,0.931,0.957,0.927,0.97,0.939,0.914,0.942,0.852,0.981,0.939
"South Afr",0.934,0.937,0.98,0.987,0.929,0.922,0.949,0.93,0.946,0.909,0.933,0.959,0.959,0.93,0.926,0.958,0.96,0.941,0.954,0.93,0.963,0.954,0.917,0.949,0.84,0.983,0.948
"South Kor",0.891,0.888,0.955,0.969,0.91,0.878,0.916,0.893,0.91,0.86,0.909,0.936,0.925,0.902,0.896,0.927,0.923,0.901,0.929,0.897,0.934,0.906,0.917,0.91,0.836,0.963,0.905
"Sweden",0.932,0.932,0.98,0.987,0.932,0.926,0.954,0.932,0.949,0.91,0.932,0.955,0.958,0.928,0.927,0.961,0.959,0.948,0.949,0.931,0.957,0.941,0.918,0.962,0.843,0.984,0.944
"Thailand",0.829,0.828,0.928,0.944,0.864,0.802,0.861,0.822,0.853,0.785,0.86,0.9,0.879,0.856,0.836,0.88,0.88,0.836,0.895,0.847,0.898,0.847,0.835,0.85,0.85,0.934,0.841
"UK",0.941,0.943,0.987,0.992,0.935,0.929,0.958,0.937,0.954,0.914,0.939,0.962,0.968,0.934,0.931,0.965,0.968,0.95,0.958,0.934,0.967,0.951,0.922,0.957,0.842,0.992,0.956
"USA",0.943,0.944,0.985,0.992,0.923,0.924,0.955,0.933,0.949,0.908,0.934,0.96,0.965,0.924,0.929,0.963,0.966,0.946,0.957,0.934,0.966,0.949,0.92,0.954,0.842,0.988,0.959
