country,cfi_ucesem,tli_ucesem,rmsea_ucesem,bic_ucesem,nfactors
USA,0.9601638799758206,0.9389111046020961,0.020983636778057112,106650699.00179975,23
Canada,NA,NA,NA,NA,22
UK,0.9578241393883391,0.9366430370782118,0.021697806881222154,7765057.262041098,22
Australia,0.9554786539551399,0.9344707460811582,0.021840785876596748,5334693.106381453,21
Singapore,0.9472168872450232,0.9223105699710298,0.022627868465396158,1326205.4409627847,21
India,NA,NA,NA,NA,20
Philippin,NA,NA,NA,NA,21
Netherlan,0.9468524428008359,0.9233386750702967,0.022873575469926095,994026.311652032,20
New Zeala,NA,NA,NA,NA,19
Ireland,0.9390891255920029,0.9138804666785942,0.0249474865234455,954700.7327631145,19
Finland,0.9230097030842522,0.8953529944834496,0.02764531794798752,646578.928361718,17
Sweden,0.9383601970030555,0.912849862693429,0.025754169395113193,584995.1163846746,19
China,NA,NA,NA,NA,17
Germany,NA,NA,NA,NA,17
Malaysia,0.9233870742861523,0.8958659262141875,0.02493879664332115,476259.93153353105,17
South Afr,NA,NA,NA,NA,16
Thailand,NA,NA,NA,NA,15
Hong Kong,0.9179024227508843,0.8905570012026351,0.025807586722377627,422009.3063565758,16
South Kor,NA,NA,NA,NA,14
Norway,NA,NA,NA,NA,18
Mexico,NA,NA,NA,NA,16
France,NA,NA,NA,NA,16
Afghanist,NA,NA,NA,NA,14
Romania,0.9058528853452927,0.8792074755373567,0.029811156187326205,319511.2438856102,14
Albania,0.8808071247082282,0.8470732920784816,0.03349806006424101,287835.9535909779,14
Greece,0.8964457921768939,0.8645829590005536,0.029957203884275856,273147.4275800481,15
Denmark,0.8886027146635535,0.8570751810777666,0.0326751099746874,256411.32643406547,14
